topics,ENreadability,DEreadability,ENtechnicality,DEtechnicality,user,ID
['Public Health'],10,8,8,6,334,23732446
['Cardiology'],15,17,7,3,954,24091338
['Public Health'],14,13,10,0,618,29069690
"['Neurology', 'Urology']",13,13,6,4,645,29186725
['Psychiatry'],18,18,4,9,10,29237198
['Ophthalmology'],16,12,5,4,960,28380654
['Internal Medicine'],12,9,5,6,65,27300096
['Obstetrics'],15,12,4,10,286,28886612
['Internal Medicine'],11,9,6,5,659,28810273
['Surgery'],7,7,4,4,841,28561168
['Pathology'],12,14,6,5,454,28187469
['Ophthalmology'],13,12,6,5,656,28114695
['Ophthalmology'],10,9,4,4,510,28586930
['Public Health'],13,13,5,10,835,19675746
['Internal Medicine'],13,12,5,6,530,34402917
['Family Practice'],8,11,6,3,34,34465197
['Psychiatry'],13,13,4,4,681,34374803
['Anesthesiology'],3,2,9,8,257,34570250
['Obstetrics'],16,12,5,6,148,34487216
['Surgery'],13,16,6,4,830,34376008
['Family Practice'],13,13,7,1,215,34583538
['Anesthesiology'],11,10,10,14,620,34613456
['Anesthesiology'],14,16,10,7,206,34495345
['Obstetrics'],7,6,3,2,413,34560801
['Dermatology'],12,9,4,4,515,34328514
['Pathology'],13,12,6,3,800,34254150
['Pediatrics'],17,15,3,4,580,34240622
['Urology'],5,5,5,5,863,34170354
['Obstetrics'],13,11,5,8,206,33906258
['Dermatology'],16,13,6,6,145,33666670
['Radiology'],18,14,8,4,305,33570680
['Cardiology'],17,17,5,0,664,33482670
"['Emergency Medicine', 'Internal Medicine']",15,17,10,4,614,33427907
['Surgical Specialty'],12,11,7,8,698,33337516
['Pathology'],17,17,0,2,601,33289861
['Family Practice'],19,19,5,3,336,33271620
['Psychiatry'],19,16,6,6,724,33244668
['Surgical Specialty'],12,10,7,6,146,33027839
['Ophthalmology'],4,4,6,5,889,33006638
['Surgery'],18,18,6,6,494,33034674
['Urology'],15,13,8,6,929,32821957
['Pathology'],14,15,4,6,550,32700061
['Occupational Medicine'],8,7,8,9,92,32488320
['Ophthalmology'],15,14,2,2,40,32375197
['Pathology'],19,17,4,6,955,32268397
['Geriatrics'],16,14,4,5,769,32018336
['Cardiology'],16,20,4,5,30,31938804
['Emergency Medicine'],4,5,10,8,540,31781830
['Emergency Medicine'],9,11,9,5,400,31781828
['Surgery'],12,11,5,5,724,31610580
['Internal Medicine'],12,12,5,6,632,31570975
['Ophthalmology'],9,7,5,7,606,31075805
['Obstetrics'],10,8,7,5,630,30477038
['Radiology'],19,20,7,6,410,34661685
['Urology'],20,19,6,4,5,34605932
['Surgery'],13,14,8,6,170,33946118
['Psychiatry'],19,17,2,4,561,32394823
['Anesthesiology'],3,4,5,11,246,34338817
['Pathology'],16,13,7,4,515,34338810
['Internal Medicine'],11,10,8,7,308,34328519
['Public Health'],12,11,6,5,72,34283268
['Urology'],14,13,5,5,70,34228143
['Radiology'],7,7,5,7,460,34111898
['Cardiology'],19,20,9,11,14,34062589
['Dermatology'],14,12,5,6,450,33999214
['Internal Medicine'],20,18,6,7,851,33877413
['Surgery'],14,11,4,2,653,33860490
['Internal Medicine'],11,9,8,5,401,33852075
['Sports Medicine'],12,12,4,4,645,33851384
['Public Health'],20,15,4,6,184,33835196
['Emergency Medicine'],9,7,6,5,406,33830287
['Surgery'],6,7,5,6,104,33728475
['Cardiology'],9,9,8,4,681,33651136
['Internal Medicine'],13,12,7,5,315,33492424
['Urology'],18,15,5,0,134,33320306
['Urology'],15,14,7,6,361,33301070
['Ophthalmology'],11,11,9,6,810,33242883
['Cardiology'],20,18,5,5,554,33236199
['Geriatrics'],5,4,6,5,353,33140132
['Psychiatry'],20,19,5,3,39,32894029
['Ophthalmology'],4,4,5,6,593,32845383
['Psychiatry'],9,11,5,8,401,32813228
['Emergency Medicine'],15,14,6,6,10,32749501
['Ophthalmology'],11,10,7,8,521,32659841
['Internal Medicine'],14,12,5,3,539,32588408
['Public Health'],9,8,5,5,345,32512598
['Public Health'],5,5,9,6,411,32492722
['Psychiatry'],12,11,10,13,801,32456587
['Public Health'],18,15,6,3,354,32430510
['Surgery'],5,5,8,7,748,32259855
['Cardiology'],13,16,7,4,810,32126909
['Psychiatry'],9,11,4,4,115,32122246
['Public Health'],16,14,7,7,668,31915866
['Public Health'],13,12,6,5,896,31915865
['Pathology'],8,5,3,3,135,31899450
['Surgery'],18,20,6,1,251,31847008
['Ophthalmology'],17,15,6,4,315,31652485
['Psychiatry'],13,12,1,2,303,31639863
['Radiology'],17,18,4,6,240,31694058
['Geriatrics'],7,8,9,5,650,32018321
['Internal Medicine'],19,15,2,5,61,34735581
['Emergency Medicine'],9,11,9,6,153,34709427
['Pathology'],13,14,6,4,70,34544166
['Radiology'],19,19,5,6,110,34352914
['Urology'],15,16,8,6,545,34347134
['Radiology'],12,12,6,7,245,34213624
['Emergency Medicine'],16,15,6,5,251,34187077
['Obstetrics'],10,10,10,6,881,34058778
['Dermatology'],15,13,4,4,497,34107755
['Psychiatry'],14,13,6,3,960,33993737
['Public Health'],10,8,6,5,330,33978772
['Dermatology'],11,11,9,3,411,33948675
['Cardiology'],12,14,8,6,251,33783622
['Psychiatry'],11,8,5,4,493,33656571
['Geriatrics'],14,15,6,1,334,33570659
['Surgical Specialty'],12,11,8,7,354,33530126
['Radiology'],15,15,4,4,461,33398466
